TE,NP,NU
1211037500,Р,ЦЕНТРАЛЬНО-МІСЬКИЙ
1211090000,,"НАСЕЛЕНІ ПУНКТИ, ПІДПОРЯДКОВАНІ КРИВОРІЗЬКІЙ МІСЬКРАДІ"
1211090001,Щ,АВАНГАРД
1211090003,Щ,ГІРНИЦЬКЕ
1211090005,Щ,КОЛОМІЙЦЕВЕ
1211090007,С,НОВОІВАНІВКА
1211090009,С,ТЕРНУВАТИЙ КУТ
1211300000,М,МАРГАНЕЦЬ
1211345000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ МАРГАНЦЕВСЬКІЙ МІСЬКРАДІ"
1211345400,Т,МАР'ЇВКА
1211390000,,"НАСЕЛЕНІ ПУНКТИ, ПІДПОРЯДКОВАНІ МАРГАНЦЕВСЬКІЙ МІСЬКРАДІ"
1211390001,Щ,МАКСИМІВКА
1211600000,М,НІКОПОЛЬ
1211900000,М,НОВОМОСКОВСЬК
1212100000,М,ПОКРОВ
1212145000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ПОКРОВСЬКІЙ МІСЬКРАДІ"
1212145300,Т,ГІРНИЦЬКЕ
1212145700,Т,ЧОРТОМЛИК
1212400000,М,ПАВЛОГРАД
1212600000,М,ПЕРШОТРАВЕНСЬК
1213000000,М,СИНЕЛЬНИКОВЕ
1213500000,М,ТЕРНІВКА
1213590000,,"НАСЕЛЕНІ ПУНКТИ, ПІДПОРЯДКОВАНІ ТЕРНІВСЬКІЙ МІСЬКРАДІ"
1213590001,С,ЗЕЛЕНА ДОЛИНА
1220000000,,РАЙОНИ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ
1220300000,,АПОСТОЛІВСЬКИЙ РАЙОН/М.АПОСТОЛОВЕ
1220310000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ АПОСТОЛІВСЬКОГО Р-НУ
1220310100,М,АПОСТОЛОВЕ
1220310101,Щ,УКРАЇНКА
1220310103,С,НОВОМАР'ЯНІВКА
1220310300,М,ЗЕЛЕНОДОЛЬСЬК
1220310301,С,МАЛА КОСТРОМКА
1220380000,,СІЛЬРАДИ АПОСТОЛІВСЬКОГО Р-НУ
1220381100,,ВЕЛИКОКОСТРОМСЬКА/С.ВЕЛИКА КОСТРОМКА
1220381101,С,ВЕЛИКА КОСТРОМКА
1220382200,,ВОЛОДИМИРІВСЬКА/С.ВОЛОДИМИРІВКА
1220382201,С,ВОЛОДИМИРІВКА
1220382203,С,СЕРГІЇВКА
1220382204,С,ШЕВЧЕНКО
1220382500,,ВІЛЬНЕНСЬКА/С.ВІЛЬНЕ
1220382501,С,ВІЛЬНЕ
1220382502,С,ВЕСЕЛІ ЧУМАКИ
1220382504,С,ЄЛИЗАВЕТПІЛЛЯ
1220382505,С,НОВОУКРАЇНСЬКЕ
1220383300,,КАМ'ЯНСЬКА/С.КАМ'ЯНКА
1220383301,С,КАМ'ЯНКА
1220383302,Щ,ЖОВТЕ
1220383303,С,НОВОІВАНІВКА
1220383304,С,СЛОВ'ЯНКА
1220383305,С,ТАРАСО-ГРИГОРІВКА
1220383306,С,ЧЕРВОНА КОЛОНА
1220384400,,ГРУШІВСЬКА/С.ГРУШІВКА
1220384401,С,ГРУШІВКА
1220384402,Щ,ГРАНІТНЕ
1220384404,С,УСТЬ-КАМ'ЯНКА
1220385500,,МАР'ЯНСЬКА/С.МАР'ЯНСЬКЕ
1220385501,С,МАР'ЯНСЬКЕ
1220386600,,МИХАЙЛІВСЬКА/С.МИХАЙЛІВКА
1220386601,С,МИХАЙЛІВКА
1220386602,С,КАТЕРИНІВКА
1220386603,С,МИХАЙЛО-ЗАВОДСЬКЕ
1220386604,С,ШИРОЧАНИ
1220387700,,НИВО-ТРУДІВСЬКА/С.НИВА ТРУДОВА
1220387701,С,НИВА ТРУДОВА
1220387706,С,САДОВЕ
1220387707,С,СОЛДАТСЬКЕ
1220387708,С,ЗОРЯНЕ
1220388800,,ПЕРШОТРАВЕНСЬКА/С.ПЕРШЕ ТРАВНЯ
1220388801,С,ПЕРШЕ ТРАВНЯ
1220388802,С,ЗАПОРІЗЬКЕ
1220388803,С,НОВА СІЧ
1220388804,С,НОВОСЕМЕНІВКА
1220389300,,ТОКІВСЬКА/С-ЩЕ ТОКІВСЬКЕ
1220389301,Щ,ТОКІВСЬКЕ
1220389303,Щ,ТІК
1220389305,Щ,ЧЕРВОНИЙ ЗАПОРОЖЕЦЬ
1220389307,С,ЧЕРВОНИЙ ТІК
1220700000,,ВАСИЛЬКІВСЬКИЙ РАЙОН/СМТ ВАСИЛЬКІВКА
1220755000,,СЕЛИЩА МІСЬКОГО ТИПУ ВАСИЛЬКІВСЬКОГО Р-НУ
1220755100,Т,ВАСИЛЬКІВКА
1220755101,С,БОНДАРЕВЕ
1220755102,С,ВОВЧАНСЬКЕ
1220755103,С,ЗОРЯ
1220755104,С,ІВАНІВКА
1220755105,С,КРАСНЕ
1220755107,С,МАНВЕЛІВКА
1220755108,С,ПЕТРИКІВКА
1220755109,Щ,ПРАВДА
1220755110,С,УЛЯНІВКА
1220755400,Т,ПИСЬМЕННЕ
1220755401,С,ВЕРБІВСЬКЕ
1220755402,С,ВОЗВРАТНЕ
1220755403,С,ВОРОНІЗЬКЕ
1220755404,С,ДІБРІВКА
1220755405,С,ЗЕЛЕНИЙ ГАЙ
1220755406,С,ІВАНІВСЬКЕ
1220755407,С,ТИХЕ
1220755408,С,ЛУБ'ЯНЦІ
1220755409,С,НОВОІВАНІВКА
1220755410,С,РУБАНІВСЬКЕ
1220755411,С,СОЛОНЦІ
1220755412,С,ШЕВЧЕНКІВСЬКЕ
1220755700,Т,ЧАПЛИНЕ
1220755701,С,ЖУРАВЛИНКА
1220755702,С,КАСАЄВЕ
1220755703,С,ПЕТРИКОВЕ
1220755704,С,РІВНЕ
1220780000,,СІЛЬРАДИ ВАСИЛЬКІВСЬКОГО Р-НУ
1220781100,,БОГДАНІВСЬКА/С.БОГДАНІВКА
1220781101,С,БОГДАНІВКА
1220781102,С,КАТЕРИНІВКА
1220781103,С,КОЛОНО-МИКОЛАЇВКА
1220781104,С,НОВОВАСИЛЬКІВКА
1220781105,С,БАБАКОВЕ
1220782200,,ВЕЛИКООЛЕКСАНДРІВСЬКА/С.ВЕЛИКООЛЕКСАНДРІВКА
1220782201,С,ВЕЛИКООЛЕКСАНДРІВКА
1220782204,С,ПЕРВОМАЙСЬКЕ
1220782205,С,ПРЕОБРАЖЕНСЬКЕ
1220782500,,ВОСКРЕСЕНІВСЬКА/С.ВОСКРЕСЕНІВКА
1220782501,С,ВОСКРЕСЕНІВКА
1220782503,С,НОВОВОСКРЕСЕНІВКА
1220783300,,ГРИГОРІВСЬКА/С.ГРИГОРІВКА
1220783301,С,ГРИГОРІВКА
1220784100,,ДЕБАЛЬЦІВСЬКА/С.ДЕБАЛЬЦЕВЕ
1220784101,С,ДЕБАЛЬЦЕВЕ
1220784103,С,ВЕСЕЛИЙ КУТ
1220784105,С,ЛУГОВЕ
1220784107,С,НОВОТЕРСЯНСЬКЕ
1220784109,С,ОХОТНИЧЕ
1220784111,С,ПЕРЕВАЛЬСЬКЕ
1220784113,С,ПРИШИБ
1220784400,,ДОБРОВІЛЬСЬКА/С.ДОБРОВІЛЛЯ
1220784401,С,ДОБРОВІЛЛЯ
1220784402,С,БРОВКИ
1220784403,С,ГРИШАЇ
1220784404,С,ЛИСА БАЛКА
1220784405,С,ОЧЕРЕТУВАТЕ
1220785500,,ЗЕЛЕНОГАЙСЬКА/С.ЗЕЛЕНИЙ ГАЙ
1220785501,С,ЗЕЛЕНИЙ ГАЙ
1220785502,С,ДОВГЕ
1220785503,С,КОПАНІ
1220785505,С,КРУТЕНЬКЕ
1220785506,С,НОВОАНДРІЇВКА
1220785507,С,ТАРАНОВЕ
1220785508,С,ХВИЛІ
1220786600,,МИКОЛАЇВСЬКА/С.МИКОЛАЇВКА
1220786601,С,МИКОЛАЇВКА
1220786602,С,АРТЕМІВКА
1220786603,С,ДАЧНЕ
1220786604,С,ДУБОВИКИ
1220786605,С,ЗЕЛЕНА РОЩА
1220786606,С,МЕДИЧНЕ
1220787700,,ПАВЛІВСЬКА/С.ПАВЛІВКА
1220787701,С,ПАВЛІВКА
1220787702,С,АВРАМІВКА
1220787703,С,ДОВГЕ
1220787704,С,КАПЛИСТІВКА
1220787705,С,КОБЗАР
1220787706,С,КРИВОРІЗЬКЕ
1220787707,Щ,КРУТОЯРКА
1220787708,С,НОВОГРИГОРІВКА
1220787710,С,ПЕРЕПЕЛЯЧЕ
1220787711,С,МОРОЗІВСЬКЕ
1220787712,С,САМАРСЬКЕ
1220787713,С,ЧЕРВОНА ДОЛИНА
1220787714,С,ШЕВЧЕНКО
1220787715,С,ШЕВ'ЯКИНЕ
1220787716,С,ШИРОКЕ
1220788800,,ШЕВЧЕНКІВСЬКА/С.ШЕВЧЕНКОВЕ
1220788801,С,ШЕВЧЕНКОВЕ
1220788802,С,КРАСНОЩОКОВЕ
1220788803,С,СВИРИДОВЕ
1220788804,С,ХУТОРО-ЧАПЛИНЕ
1221000000,,ВЕРХНЬОДНІПРОВСЬКИЙ РАЙОН/М.ВЕРХНЬОДНІПРОВСЬК
1221010000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ВЕРХНЬОДНІПРОВСЬКОГО Р-НУ
1221010100,М,ВЕРХНЬОДНІПРОВСЬК
1221010300,М,ВЕРХІВЦЕВЕ
1221010301,Щ,СОКОЛІВКА
1221010302,С,ШИРОКЕ
1221055000,,СЕЛИЩА МІСЬКОГО ТИПУ ВЕРХНЬОДНІПРОВСЬКОГО Р-НУ
1221055400,Т,ДНІПРОВСЬКЕ
1221055800,Т,НОВОМИКОЛАЇВКА
1221055801,С,БРАТСЬКЕ
1221055802,С,ВОЄВОДІВКА
1221055803,С,ЧЕПИНЕ
1221055804,С,ЧКАЛОВКА
1221080000,,СІЛЬРАДИ ВЕРХНЬОДНІПРОВСЬКОГО Р-НУ
1221081000,,ГАННІВСЬКА/С.ГАННІВКА
1221081001,С,ГАННІВКА
1221081003,С,ЗАПОЛИЧКИ
1221081004,С,КЛИН
1221081005,С,МОСТИ
1221081006,С,НОВОСЕЛІВКА
1221081007,С,ПОПІВКА
1221081800,,БОРОВКІВСЬКА/С.БОРОВКІВКА
1221081801,С,БОРОВКІВКА
1221081802,С,АВКСЕНІВКА
1221081803,С,ВІЛЬНІ ХУТОРИ
1221081804,С,МАТЮЧЕНКОВЕ
1221081805,С,ПАВЛО-ГРИГОРІВКА
1221081806,С,ЯРОК
1221082200,,БОРОДАЇВСЬКА/С.БОРОДАЇВКА
1221082201,С,БОРОДАЇВКА
1221082205,С,ПРАВОБЕРЕЖНЕ
1221083300,,ВОДЯНСЬКА/С.ВОДЯНЕ
1221083301,С,ВОДЯНЕ
1221083302,С,АНДРІЇВКА
1221083303,С,ДІДЕНКОВЕ
1221083304,С,ЗЕЛЕНЕ
1221083305,С,ЗУБОТРЯСІВКА
1221083306,С,КРИВОНОСОВЕ
1221083307,С,МИКОЛАЇВКА
1221083308,С,СОЛОВ'ЇВКА
1221083309,С,ТОМАКІВКА
1221084100,,ДМИТРІВСЬКА/С.ДМИТРІВКА
1221084101,С,ДМИТРІВКА
1221084102,С,ДІДОВЕ
1221084103,С,ДОБРОГІРСЬКЕ
1221084104,С,КРИНИЧКИ
1221084105,С,КУШНАРІВКА
1221084106,С,МАР'ЯНІВКА
1221084107,С,МОТРОНІВКА
1221084108,С,НОВОГАННІВКА
1221084109,С,ПОСУНЬКИ
1221084110,С,СОКОЛОВЕ
1221084400,,ДНІПРОВОКАМ'ЯНСЬКА/С.ДНІПРОВОКАМ'ЯНКА
1221084401,С,ДНІПРОВОКАМ'ЯНКА
1221084403,С,ІВАШКОВЕ
1221084405,С,КАЛУЖИНЕ
1221084407,С,ПАВЛІВКА
1221084409,С,СУСЛІВКА
1221085500,,ЗАРІЧЧАНСЬКА/С.ЗАРІЧЧЯ
1221085501,С,ЗАРІЧЧЯ
1221085502,С,БОРОДАЇВСЬКІ ХУТОРИ
1221085503,С,ВАСИЛІВКА
1221085504,С,ДОМОТКАНЬ
1221085505,С,КОРНИЛО-НАТАЛІВКА
1221085506,С,ЯКИМІВКА
1221086600,,МАЛООЛЕКСАНДРІВСЬКА/С.МАЛООЛЕКСАНДРІВКА
1221086601,С,МАЛООЛЕКСАНДРІВКА
1221086602,С,АДАЛИМІВКА
1221086603,С,ГРАНОВЕ
1221086604,С,КАЛИНІВКА
1221086605,С,ДУБОВЕ
1221086606,С,САКСАГАНЬ
1221086607,С,ПЕТРІВКА
1221086608,С,ПОЛІВСЬКЕ
1221087000,,МИШУРИНО-РІЗЬКА/С.МИШУРИН РІГ
1221087001,С,МИШУРИН РІГ
1221087500,,ПЕРШОТРАВЕНСЬКА/С.ПЕРШЕ ТРАВНЯ
1221087501,С,ПЕРШЕ ТРАВНЯ
1221087502,С,НОВОГРИГОРІВКА
1221087503,С,ПІДЛУЖЖЯ
1221087504,С,САМОТКАНЬ
1221087505,С,ТАРАСІВКА
1221087700,,ПУШКАРІВСЬКА/С.ПУШКАРІВКА
1221087701,С,ПУШКАРІВКА
1221400000,,ДНІПРОВСЬКИЙ РАЙОН/М.ДНІПРО
1221410000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ДНІПРОВСЬКОГО Р-НУ
1221411000,М,ПІДГОРОДНЕ
1221411001,С,ПЕРЕМОГА
1221455000,,СЕЛИЩА МІСЬКОГО ТИПУ ДНІПРОВСЬКОГО Р-НУ
1221455400,Т,ОБУХІВКА
1221455401,С,ГОРЯНІВСЬКЕ
1221455800,Т,СЛОБОЖАНСЬКЕ
1221480000,,СІЛЬРАДИ ДНІПРОВСЬКОГО Р-НУ
1221481000,,ОЛЕКСАНДРІВСЬКА/С.ОЛЕКСАНДРІВКА
1221481001,С,ОЛЕКСАНДРІВКА
1221481003,С,ВАСИЛІВКА
1221481500,,ВОЛОСЬКА/С.ВОЛОСЬКЕ
1221481501,С,ВОЛОСЬКЕ
1221481502,С,МАЙОРКА
1221481503,С,РАКШІВКА
1221481504,С,ЧЕРВОНИЙ САДОК
1221482000,,ГОРЬКІВСЬКА/С-ЩЕ ГОРЬКОГО
1221482001,Щ,ГОРЬКОГО
1221482002,Щ,ДОЛИНСЬКЕ
1221482004,С,НОВЕ
1221482006,С,ПАШЕНА БАЛКА
1221482008,Щ,ШЕВЧЕНКО
1221484000,,ЛЮБИМІВСЬКА/С.ЛЮБИМІВКА
1221484001,С,ЛЮБИМІВКА
1221484002,С,ПЕРШЕ ТРАВНЯ
1221484003,С,ПРИДНІПРЯНСЬКЕ
1221485600,,МИКОЛАЇВСЬКА/С.МИКОЛАЇВКА
1221485601,С,МИКОЛАЇВКА
1221485603,Щ,СУРСЬКЕ
1221486200,,НОВООЛЕКСАНДРІВСЬКА/С.НОВООЛЕКСАНДРІВКА
1221486201,С,НОВООЛЕКСАНДРІВКА
1221486202,С,БРАТСЬКЕ
1221486203,С,ДНІПРОВЕ
1221486204,С,ДОРОГЕ
1221486205,Щ,ДОСЛІДНЕ
1221486206,С,КАМ'ЯНКА
1221486207,С,СТАРІ КОДАКИ
1221486208,С,ЧУВИЛИНЕ
1221486400,,НОВОМИКОЛАЇВСЬКА/С.НОВОМИКОЛАЇВКА
1221486401,С,НОВОМИКОЛАЇВКА
1221486403,С,ЗЕЛЕНИЙ ГАЙ
1221486405,С,СУРСЬКО-КЛЕВЦЕВЕ
1221486600,,ПАРТИЗАНСЬКА/С.ПАРТИЗАНСЬКЕ
1221486601,С,ПАРТИЗАНСЬКЕ
1221486800,,БАЛІВСЬКА/С.БАЛІВКА
1221486801,С,БАЛІВКА
1221487000,,СТЕПНЯНСЬКА/С.СТЕПОВЕ
1221487001,С,СТЕПОВЕ
1221487200,,СТЕПОВА/С-ЩЕ СТЕПОВЕ
1221487201,Щ,СТЕПОВЕ
1221487202,С,БЛАГОВІЩЕНКА
1221487500,,СУРСЬКО-ЛИТОВСЬКА/С.СУРСЬКО-ЛИТОВСЬКЕ
1221487501,С,СУРСЬКО-ЛИТОВСЬКЕ
1221487700,,НОВОТАРОМСЬКА/С.МИКОЛАЇВКА
1221487703,С,НОВОТАРОМСЬКЕ
1221488000,,ЧУМАКІВСЬКА/С.ЧУМАКИ
1221488001,С,ЧУМАКИ
1221488002,С,ВИНОГРАДНЕ
1221488003,Щ,ЗОРЯ
1221488005,С,МАЇВКА
1221800000,,КРИВОРІЗЬКИЙ РАЙОН/М.КРИВИЙ РІГ
1221855000,,СЕЛИЩА МІСЬКОГО ТИПУ КРИВОРІЗСЬКОГО Р-НУ
1221855500,Т,РАДУШНЕ
1221855800,Т,ХРИСТОФОРІВКА
1221880000,,СІЛЬРАДИ КРИВОРІЗЬКОГО Р-НУ
1221880500,,СОФІЇВСЬКА/С.СОФІЇВКА
1221880501,С,СОФІЇВКА
1221880503,С,ІВАНІВКА
1221881200,,ВЕСЕЛІВСЬКА/С.ВЕСЕЛЕ
1221881201,С,ВЕСЕЛЕ
1221881202,С,БУРЛАЦЬКЕ
1221881203,С,ЛЬВІВ
1221881204,С,НОВА ЗОРЯ
1221881205,С,НОВИЙ ШЛЯХ
1221881206,С,НОВОМАР'ЯНІВСЬКЕ
1221881300,,ВІЛЬНЕНСЬКА/С.ВІЛЬНЕ
1221881301,С,ВІЛЬНЕ
1221881303,С,НАДІЯ
1221881400,,ГЕЙКІВСЬКА/С.ГЕЙКІВКА
1221881401,С,ГЕЙКІВКА
1221881402,С,ІВАНІВКА
1221881403,С,КРИВБАС
1221881404,С,НОВИЙ КРЕМЕНЧУК
1221881405,С,ПАВЛІВКА
1221881406,С,РАННІЙ РАНОК
1221882000,,ГЛЕЮВАТСЬКА/С.ГЛЕЮВАТКА
1221882001,С,ГЛЕЮВАТКА
1221882002,С,ВЕСЕЛИЙ КУТ
1221882003,С,КРАСНА БАЛКА
1221882004,С,НОВОІВАНІВКА
1221882200,,ГРУЗЬКА/С.ГРУЗЬКЕ
1221882201,С,ГРУЗЬКЕ
1221882203,С,АНАСТАСІВКА
1221882205,С,НОВОЛОЗУВАТКА
1221882207,С,ТЕРНІВКА
1221882400,,ЗЛАТОУСТІВСЬКА/С.ЗЛАТОУСТІВКА
1221882401,С,ЗЛАТОУСТІВКА
1221882402,С,АНДРУСІВКА
1221882403,С,КАМ'ЯНСЬКЕ
1221882404,С,НОВОГРИГОРІВКА
1221882900,,ДАНИЛІВСЬКА/С.ДАНИЛІВКА
1221882901,С,ДАНИЛІВКА
1221882902,С,ЗЕЛЕНИЙ ГАЙ
1221882903,С,ЗЕЛЕНИЙ ЛУГ
1221882904,С,КУДАШІВКА
1221882905,Щ,МУСІЇВКА
1221882906,С,НОВИЙ МИР
1221882907,Щ,ЧЕРВОНА ПОЛЯНА
1221883500,,КРАСІВСЬКА/С.КРАСІВСЬКЕ
1221883501,С,КРАСІВСЬКЕ
1221883502,С,ВОДЯНЕ
1221883504,С,КРАСНЕ
1221883505,С,САДОВЕ
1221883506,Щ,НОВІ САДКИ
1221883507,С,НОВОЖИТОМИР
1221883508,С,СУВОРОВКА
1221883509,С,ТРУДОВЕ
1221884000,,ЛОЗУВАТСЬКА/С.ЛОЗУВАТКА
1221884001,С,ЛОЗУВАТКА
1221884002,С,БАЗАРОВЕ
1221884004,С,МАР'ЯНІВКА
1221884005,С,НОВОГАННІВКА
1221884006,С,РАЄВО-ОЛЕКСАНДРІВКА
1221884300,,НАДЕЖДІВСЬКА/С.НАДЕЖДІВКА
1221884301,С,НАДЕЖДІВКА
1221884302,С,БРАТСЬКО-СЕМЕНІВКА
1221884303,С,МАЯК
1221884305,Щ,ПИЧУГИНЕ
1221884500,,НЕДАЙВОДСЬКА/С.НЕДАЙВОДА
1221884501,С,НЕДАЙВОДА
1221884502,С,ЗОРЯ
1221884503,С,ТЕРНУВАТКА
1221884700,,НОВОПІЛЬСЬКА/С.НОВОПІЛЛЯ
1221884701,С,НОВОПІЛЛЯ
1221884703,С,ЗЛАТОПІЛЬ
1221884705,С,ЗОЛОТА ПОЛЯНА
1221884707,С,ДНІПРОВКА
1221884709,С,КОЛОМІЙЦЕВЕ
1221884711,Щ,ЛІСОПИТОМНИК
1221884713,С,НОВОМАЙСЬКЕ
1221884715,С,СТЕПОВЕ
1221884717,С,ЧЕРВОНІ ПОДИ
1221885900,,ШЕВЧЕНКІВСЬКА/С.ШЕВЧЕНКІВСЬКЕ
1221885901,С,ШЕВЧЕНКІВСЬКЕ
1221885902,С,ВИСОКЕ ПОЛЕ
1221885903,С,ЗЕЛЕНЕ ПОЛЕ
1221885904,С,КАМ'ЯНЕ ПОЛЕ
1221885905,С,ЛІСОВЕ
1221885906,С,НОВОПОКРОВКА
1221887000,,ЧЕРВОНЕНСЬКА/С.ЧЕРВОНЕ
1221887001,С,ЧЕРВОНЕ
1221887002,С,ГОМЕЛЬСЬКЕ
1221887003,С,ЗАПОРОЖЕЦЬ
1221887004,С,КАЛИНІВКА
1221887005,Щ,РУДНИЧНЕ
1221887006,С,ЧАБАНОВЕ
1221887700,,ЧКАЛІВСЬКА/С.ЧКАЛОВКА
1221887701,С,ЧКАЛОВКА
1221887702,С,ГРУЗЬКА ГРИГОРІВКА
1221887703,С,ДРУЖБА
1221887704,С,ІНГУЛЕЦЬ
1221887706,С,РАДІОНІВКА
1221888200,,ШИРОКІВСЬКА/С.ШИРОКЕ
1221888201,С,ШИРОКЕ
1221888202,С,ВІЛЬНИЙ ПОСАД
1221888203,С,ВІЛЬНИЙ ТАБІР
1221888204,С,НОВОСЕЛІВКА
1221888206,С,РОМАНІВКА
1221888207,С,ШЕВЧЕНКОВЕ
1222000000,,КРИНИЧАНСЬКИЙ РАЙОН/СМТ КРИНИЧКИ
1222055000,,СЕЛИЩА МІСЬКОГО ТИПУ КРИНИЧАНСЬКОГО Р-НУ
1222055100,Т,КРИНИЧКИ
1222055101,С,ГРИМУЧЕ
1222055102,С,НОВОПІДГІРНЕ
1222055103,С,НОВОПУШКАРІВКА
1222055104,С,ОДАРІВКА
1222055105,С,СУВОРОВСЬКЕ
1222055106,С,ЧЕРВОНИЙ ЯР
1222055107,С,ЧЕРНЕЧЕ
1222055108,С,ЯБЛУНЕВЕ
1222055300,Т,АУЛИ
1222055700,Т,БОЖЕДАРІВКА
1222055701,С,ВЕСЕЛЕ
1222055702,С,ВІЛЬНЕ
1222055703,С,ЛЮДМИЛІВКА
1222055704,С,НАДІЯ
1222055705,С,ОЛЕКСІЇВКА
1222055706,С,ПОТОКИ
1222055707,С,СКЕЛЮВАТКА
1222055708,С,ТРУДОВЕ
1222080000,,СІЛЬРАДИ КРИНИЧАНСЬКОГО Р-НУ
1222080500,,АДАМІВСЬКА/С.АДАМІВКА
1222080501,С,АДАМІВКА
1222080502,С,ЗЕЛЕНА ДОЛИНА
1222081000,,СВІТЛОГІРСЬКА/С.СВІТЛОГІРСЬКЕ
1222081001,С,СВІТЛОГІРСЬКЕ
1222081500,,БОЛТИШКІВСЬКИЙ/С.БОЛТИШКА
1222081501,С,БОЛТИШКА
1222081502,С,КАЛИНІВКА
1222081503,С,ОЛЕКСАНДРІВКА
1222081700,,БИКІВСЬКА/С.БИКОВЕ
1222081701,С,БИКОВЕ
1222081703,С,ВАСИЛІВКА
1222081705,С,ВОДЯНЕ
1222082000,,ГУЛЯЙПІЛЬСЬКА/С.ГУЛЯЙПОЛЕ
1222082001,С,ГУЛЯЙПОЛЕ
1222082002,С,БЕРЕЗИНЕ
1222082003,С,БЛАГОДАТНЕ
1222082004,С,БУЗУЛУКИ
1222082005,С,ВИСОКЕ
1222082006,С,КОЗАЧЕ
1222082007,С,МАЛОСОФІЇВКА
1222082008,С,УКРАЇНСЬКЕ
1222082009,С,ПЕРВОМАЙСЬКЕ
1222082010,С,СМОЛЕНКА
1222082011,С,ТАРАСІВКА
1222082012,С,УДАЧНЕ
1222082300,,ДРУЖБІВСЬКА/С.ДРУЖБА
1222082301,С,ДРУЖБА
1222082302,С,КАМ'ЯНЧАНИ
1222082303,С,МИРНЕ
1222082304,С,ПЕРВОЗВАНІВКА
1222082305,С,СУХИЙ ХУТІР
1222082306,С,УЛЯНІВКА
1222082307,С,МАЛЯРЩИНА
1222082308,С,ЧЕРВОНИЙ СТАВ
1222082500,,САКСАГАНСЬКА/С.САКСАГАНСЬКЕ
1222082501,С,САКСАГАНСЬКЕ
1222082503,С,БОЖЕДАРІВКА
1222082504,С,ТЕПЛІВКА
1222082700,,ЗАТИШНЯНСЬКА/С.ЗАТИШНЕ
1222082701,С,ЗАТИШНЕ
1222082702,Щ,ГРАНІТНЕ
1222082703,С,ЛУГОВЕ
1222083000,,КАТЕРИНОПІЛЬСЬКА/С.КАТЕРИНОПІЛЬ
1222083001,С,КАТЕРИНОПІЛЬ
1222083005,С,ЗОРЯ
1222083006,С,НОВА ПРАЦЯ
1222083007,С,НОВОГУРІВКА
1222083008,С,ПАВЛІВКА
1222083009,С,ПРИВІЛЛЯ
1222083500,,КУДАШІВСЬКА/С-ЩЕ КУДАШІВКА
1222083501,Щ,КУДАШІВКА
1222083502,С,АНДРІЇВКА
1222083503,С,БЛАГОСЛОВЕННА
1222083504,С,КАТЕРИНІВКА
1222083505,С,КОВАЛІВКА
1222083506,С,НОВОЖИТЛІВКА
1222083507,С,ПОЛЯНА
1222084000,,МАЛОМИХАЙЛІВСЬКА/С.МАЛОМИХАЙЛІВКА
1222084001,С,МАЛОМИХАЙЛІВКА
1222084002,С,ДІБРОВА
1222084003,С,НОВОКАЛИНІВКА
1222084004,С,ШМАКОВЕ
1222084500,,НОВОСЕЛІВСЬКА/С.НОВОСЕЛІВКА
1222084501,С,НОВОСЕЛІВКА
1222084502,С,БАРВІНОК
1222084503,С,ЗЕЛЕНИЙ КУТ
1222084504,С,ІЛЛІНКА
1222084505,С,РОГІВСЬКЕ
1222084506,С,СТЕПАНІВКА
1222085000,,ПОКРОВСЬКА/С.ПОКРОВКА
1222085001,С,ПОКРОВКА
1222085002,С,ВЕСЕЛА ДОЛИНА
1222085003,С,ГРУЗИНІВКА
1222085004,С,ЗЕЛЕНИЙ ЯР
1222085005,С,КРУТА БАЛКА
1222085006,Щ,МИЛОРАДІВКА
1222085007,С,НОВОМИЛОРАДІВКА
1222085008,Щ,СОРОКОПАНІВКА
1222085009,С,ЧЕРВОНИЙ ОРЛИК
1222085500,,ПРЕОБРАЖЕНСЬКА/С.ПРЕОБРАЖЕНКА
1222085501,С,ПРЕОБРАЖЕНКА
1222085502,С,ВІТРІВКА
1222085503,С,ЧЕРКАСЬКЕ
1222085504,С,ЛОЗУВАТКА
1222085505,С,МИХАЙЛІВКА
1222085507,С,ЛОЗУВАТСЬКЕ
1222085508,С,ЧЕРВОНА БАЛКА
1222085509,С,ЧЕРВОНЕ
1222086000,,СЕМЕНІВСЬКА/С.СЕМЕНІВКА
1222086001,С,СЕМЕНІВКА
1222086002,С,ВЕСЕЛА РОША
1222086003,С,КОТЛЯРІВКА
1222086004,С,ЛЮБИМІВКА
1222086005,С,ЛЮБОМИРІВКА
1222086006,С,ПІДГІРНЕ
1222086007,С,ПРАПОР
1222086200,,УКРАЇНСЬКА/С.УКРАЇНКА
1222086201,С,УКРАЇНКА
1222086203,Щ,ВИШНЕВЕ
1222086500,,ЧЕРВОНОІВАНІВСЬКА/С.ЧЕРВОНОІВАНІВКА
1222086501,С,ЧЕРВОНОІВАНІВКА
1222086502,С,КОЗОДУБ
1222086503,С,КОРОБЧИНЕ
1222088600,,ПРОМІНСЬКА/С.ПРОМІНЬ
1222088601,С,ПРОМІНЬ
1222088603,С,ВОЛОДИМИРІВКА
