"TE","NP","NU","NR"
"2320983000",,"ВЕРХНЬОКРИНИЧАНСЬКА/С.ВЕРХНЯ КРИНИЦЯ","ВЕРХНЕКРИНИЧАНСКИЙ/С.ВЕРХНЯЯ КРИНИЦА"
"2320983001","С","ВЕРХНЯ КРИНИЦЯ","ВЕРХНЯЯ КРИНИЦА"
"2320983200",,"ЛУГІВСЬКА/С.ЛУГОВЕ","ЛУГОВСКИЙ/С.ЛУГОВОЕ"
"2320983201","С","ЛУГОВЕ","ЛУГОВОЕ"
"2320983203","С","ЛІСНЕ","ЛЕСНОЕ"
"2320983300",,"МАЛОБІЛОЗЕРСЬКА/С.МАЛА БІЛОЗЕРКА","МАЛОБЕЛОЗЕРСКИЙ/С.МАЛАЯ БЕЛОЗЕРКА"
"2320983301","С","МАЛА БІЛОЗЕРКА","МАЛАЯ БЕЛОЗЕРКА"
"2320983302","С","НОВОБІЛОЗЕРКА","НОВОБЕЛОЗЕРКА"
"2320984400",,"ОРЛЯНСЬКА/С.ОРЛЯНСЬКЕ","ОРЛЯНСКИЙ/С.ОРЛЯНСКОЕ"
"2320984401","С","ОРЛЯНСЬКЕ","ОРЛЯНСКОЕ"
"2320984402","С","ВІДНОЖИНЕ","ВИДНОЖИНО"
"2320984403","С","ТОПОЛИНЕ","ТОПОЛИНОЕ"
"2320984404","С","УЛЯНІВКА","УЛЬЯНОВКА"
"2320984405","С","ЯСНА ПОЛЯНА","ЯСНАЯ ПОЛЯНА"
"2320985300",,"ПІДГІРНЕНСЬКА/С.ПІДГІРНЕ","ПОДГОРНЕНСКИЙ/С.ПОДГОРНОЕ"
"2320985301","С","ПІДГІРНЕ","ПОДГОРНОЕ"
"2320985303","С","ГЛАДКЕ","ГЛАДКОЕ"
"2320985305","С","ЗЕЛЕНИЙ ГАЙ","ЗЕЛЕНЫЙ ГАЙ"
"2320985500",,"ПРИМОРСЬКА/С.ПРИМОРСЬКЕ","ПРИМОРСКИЙ/С.ПРИМОРСКОЕ"
"2320985501","С","ПРИМОРСЬКЕ","ПРИМОРСКОЕ"
"2320985800",,"П'ЯТИХАТСЬКА/С.П'ЯТИХАТКИ","ПЯТИХАТСКИЙ/С.ПЯТИХАТКИ"
"2320985801","С","П'ЯТИХАТКИ","ПЯТИХАТКИ"
"2320985803","С","ЖЕРЕБ'ЯНКИ","ЖЕРЕБЯНКИ"
"2320985805","С","ЛОБКОВЕ","ЛОБКОВОЕ"
"2320985807","С","МАЛІ ЩЕРБАКИ","МАЛЫЕ ЩЕРБАКИ"
"2320985809","С","ПАВЛІВКА","ПАВЛОВКА"
"2320986600",,"СКЕЛЬКІВСЬКА/С.СКЕЛЬКИ","СКЕЛЬКОВСКИЙ/С.СКЕЛЬКИ"
"2320986601","С","СКЕЛЬКИ","СКЕЛЬКИ"
"2320986602","С","ЗЛАТОПІЛЬ","ЗЛАТОПОЛЬ"
"2320986603","С","МАЯЧКА","МАЯЧКА"
"2320986604","С","ПЕРШОТРАВНЕВЕ","ПЕРШОТРАВНЕВОЕ"
"2320986605","С","ШЕВЧЕНКА","ШЕВЧЕНКО"
"2320988800",,"ШИРОКІВСЬКА/С.ШИРОКЕ","ШИРОКОВСКИЙ/С.ШИРОКОЕ"
"2320988801","С","ШИРОКЕ","ШИРОКОЕ"
"2320988803","С","ГРОЗОВЕ","ГРОЗОВОЕ"
"2320988805","С","КОНОВАЛОВА","КОНОВАЛОВА"
"2320988806","С","ПЕРЕМОЖНЕ","ПЕРЕМОЖНОЕ"
"2320988807","С","ТЕРНУВАТЕ","ТЕРНОВАТОЕ"
"2320988808","С","ДОЛИНКА","ДОЛИНКА"
"2321100000",,"ВЕЛИКОБІЛОЗЕРСЬКИЙ РАЙОН/С.ВЕЛИКА БІЛОЗЕРКА","ВЕЛИКОБЕЛОЗЕРСКИЙ РАЙОН/С.ВЕЛИКАЯ БЕЛОЗЕРКА"
"2321180000",,"СІЛЬРАДИ ВЕЛИКОБІЛОЗЕРСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ВЕЛИКОБЕЛОЗЕРСКОГО Р-НА"
"2321180100",,"ВЕЛИКОБІЛОЗЕРСЬКА/С.ВЕЛИКА БІЛОЗЕРКА","ВЕЛИКОБЕЛОЗЕРСКИЙ/С.ВЕЛИКАЯ БЕЛОЗЕРКА"
"2321180101","С","ВЕЛИКА БІЛОЗЕРКА(ЧАСТИНА 1 СЕЛА)","ВЕЛИКАЯ БЕЛОЗЕРКА(ЧАСТЬ 1 СЕЛА)"
"2321183500",,"ГЮНІВСЬКА/С.ГЮНІВКА","ГЮНЕВСКИЙ/С.ГЮНЕВКА"
"2321183501","С","ГЮНІВКА","ГЮНОВКА"
"2321183502","С","ЗЕЛЕНА БАЛКА","ЗЕЛЕНАЯ БАЛКА"
"2321186500",,"НОВОПЕТРІВСЬКА/С.ВЕЛИКА БІЛОЗЕРКА","НОВОПЕТРОВСКИЙ/С.ВЕЛИКАЯ БЕЛОЗЕРКА"
"2321186501","С","КАЧКАРІВКА","КАЧКАРОВКА"
"2321186502","С","ВЕЛИКА БІЛОЗЕРКА(ЧАСТИНА 2 СЕЛА)","ВЕЛИКАЯ БЕЛОЗЕРКА(ЧАСТЬ 2 СЕЛА)"
"2321186503","С","НОВОПЕТРІВКА","НОВОПЕТРОВКА"
"2321187400",,"ТРУДОВА/С.ВЕЛИКА БІЛОЗЕРКА","ТРУДОВОЙ/С.ВЕЛИКАЯ БЕЛОЗЕРКА"
"2321187401","С","ВЕЛИКА БІЛОЗЕРКА(ЧАСТИНА 3 СЕЛА)","ВЕЛИКАЯ БЕЛОЗЕРКА(ЧАСТЬ 3 СЕЛА)"
"2321188400",,"ЧЕРВОНА/С.ВЕЛИКА БІЛОЗЕРКА","ЧЕРВОНЫЙ/С.ВЕЛИКАЯ БЕЛОЗЕРКА"
"2321188401","С","ВЕЛИКА БІЛОЗЕРКА(ЧАСТИНА 4 СЕЛА)","ВЕЛИКАЯ БЕЛОЗЕРКА(ЧАСТЬ 4 СЕЛА)"
"2321200000",,"ВЕСЕЛІВСЬКИЙ РАЙОН/СМТ ВЕСЕЛЕ","ВЕСЕЛОВСКИЙ РАЙОН/ПГТ ВЕСЕЛОЕ"
"2321255000",,"СЕЛИЩА МІСЬКОГО ТИПУ ВЕСЕЛІВСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ВЕСЕЛОВСКОГО Р-НА"
"2321255100","Т","ВЕСЕЛЕ","ВЕСЕЛОЕ"
"2321255101","С","ЄЛИЗАВЕТІВКА","ЕЛИЗАВЕТОВКА"
"2321255102","С","НОВООЛЕКСАНДРІВКА","НОВОАЛЕКСАНДРОВКА"
"2321255103","С","ЯСНА ПОЛЯНА","ЯСНАЯ ПОЛЯНА"
"2321280000",,"СІЛЬРАДИ ВЕСЕЛІВСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ВЕСЕЛОВСКОГО Р-НА"
"2321280500",,"БІЛОРІЦЬКА/С.МАЛА МИХАЙЛІВКА","БЕЛОРЕЦКИЙ/С.МАЛАЯ МИХАЙЛОВКА"
"2321280501","С","МАЛА МИХАЙЛІВКА","МАЛАЯ МИХАЙЛОВКА"
"2321280502","С","АВАНГАРД","АВАНГАРД"
"2321280503","С","ОЗЕРНЕ","ОЗЕРНОЕ"
"2321281200",,"ЗАПОРІЗЬКА/С.ЗАПОРІЖЖЯ","ЗАПОРОЖСКИЙ/С.ЗАПОРОЖЬЕ"
"2321281201","С","ЗАПОРІЖЖЯ","ЗАПОРОЖЬЕ"
"2321281202","С","БІЛІВСЬКЕ","БЕЛОВСКОЕ"
"2321281203","С","БРАТОЛЮБІВКА","БРАТОЛЮБОВКА"
"2321281400",,"ЗЕЛЕНОГАЇВСЬКА/С.ЗЕЛЕНИЙ ГАЙ","ЗЕЛЕНОГАЕВСКИЙ/С.ЗЕЛЕНЫЙ ГАЙ"
"2321281401","С","ЗЕЛЕНИЙ ГАЙ","ЗЕЛЕНЫЙ ГАЙ"
"2321281402","С","ЗЕЛЕНИЙ ЛУГ","ЗЕЛЕНЫЙ ЛУГ"
"2321281403","С","КРАСАВИЧ","КРАСАВИЧ"
"2321282300",,"КАЛИНІВСЬКА/С.КАЛИНІВКА","КАЛИНОВСКИЙ/С.КАЛИНОВКА"
"2321282301","С","КАЛИНІВКА","КАЛИНОВКА"
"2321282302","С","ДОБРОВОЛЬЧЕСЬКЕ","ДОБРОВОЛЬЧЕСКОЕ"
"2321282303","С","НОВОУКРАЇНКА","НОВОУКРАИНКА"
"2321282500",,"КОРНІЇВСЬКА/С.КОРНІЇВКА","КОРНЕЕВСКИЙ/С.КОРНЕЕВКА"
"2321282501","С","КОРНІЇВКА","КОРНЕЕВКА"
"2321283400",,"МАТВІЇВСЬКА/С.МАТВІЇВКА","МАТВЕЕВСКИЙ/С.МАТВЕЕВКА"
"2321283401","С","МАТВІЇВКА","МАТВЕЕВКА"
"2321283402","С","ВОСХОД","ВОСХОД"
"2321284000",,"МЕНЧИКУРІВСЬКА/С.МЕНЧИКУРИ","МЕНЧИКУРОВСКИЙ/С.МЕНЧИКУРЫ"
"2321284001","С","МЕНЧИКУРИ","МЕНЧИКУРЫ"
"2321284002","С","ПІСКОШИНЕ","ПИСКОШИНО"
"2321284600",,"ГОГОЛІВСЬКА/С.ГОГОЛІВКА","ГОГОЛЕВСКИЙ/С.ГОГОЛЕВКА"
"2321284601","С","ГОГОЛІВКА","ГОГОЛЕВКА"
"2321284611","С","МУСІЇВКА","МУСИЕВКА"
"2321285700",,"НОВОУСПЕНІВСЬКА/С.НОВОУСПЕНІВКА","НОВОУСПЕНОВСКИЙ/С.НОВОУСПЕНОВКА"
"2321285701","С","НОВОУСПЕНІВКА","НОВОУСПЕНОВКА"
"2321285702","С","НОВОІВАНІВКА","НОВОИВАНИВКА"
"2321286300",,"ТАВРІЙСЬКА/С-ЩЕ ТАВРІЯ","ТАВРИЙСКИЙ/П.ТАВРИЯ"
"2321286301","Щ","ТАВРІЯ","ТАВРИЯ"
"2321286303","С","ВЕСЕЛЕ","ВЕСЕЛОЕ"
"2321286800",,"ЧКАЛОВСЬКА/С.ЧКАЛОВЕ","ЧКАЛОВСКИЙ/С.ЧКАЛОВО"
"2321286801","С","ЧКАЛОВЕ","ЧКАЛОВО"
"2321287900",,"ШИРОКІВСЬКА/С.ШИРОКЕ","ШИРОКОВСКИЙ/С.ШИРОКОЕ"
"2321287901","С","ШИРОКЕ","ШИРОКОЕ"
"2321287902","С","ДАЛЕКЕ","ДАЛЕКОЕ"
"2321500000",,"ВІЛЬНЯНСЬКИЙ РАЙОН/М.ВІЛЬНЯНСЬК","ВОЛЬНЯНСКИЙ РАЙОН/Г.ВОЛЬНЯНСК"
"2321510000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ВІЛЬНЯНСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ ВОЛЬНЯНСКОГО Р-НА"
"2321510100","М","ВІЛЬНЯНСЬК","ВОЛЬНЯНСК"
"2321510101","С","СМОРОДИНЕ","СМОРОДИНО"
"2321555000",,"СЕЛИЩА МІСЬКОГО ТИПУ ВІЛЬНЯНСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ВОЛЬНЯНСКОГО Р-НА"
"2321555300","Т","КАМ'ЯНЕ","КАМЕННОЕ"
"2321580000",,"СІЛЬРАДИ ВІЛЬНЯНСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ВОЛЬНЯНСКОГО Р-НА"
"2321580500",,"АНТОНІВСЬКА/С.АНТОНІВКА","АНТОНОВСКИЙ/С.АНТОНОВКА"
"2321580501","С","АНТОНІВКА","АНТОНОВКА"
"2321580502","С","ВОЛОДИМИРІВКА","ВЛАДИМИРОВКА"
"2321580503","С","ЗЕЛЕНИЙ ГАЙ","ЗЕЛЕНЫЙ ГАЙ"
"2321580504","С","КОЛОС","КОЛОС"
"2321580505","С","НОВОМИРГОРОДКА","НОВОМИРГОРОДКА"
"2321580506","С","ГЕЛЕНДЖИК","ГЕЛЕНДЖИК"
"2321581000",,"ГНАРОВСЬКА/С.ГНАРОВСЬКЕ","ГНАРОВСКИЙ/С.ГНАРОВСКОЕ"
"2321581001","С","ГНАРОВСЬКЕ","ГНАРОВСКОЕ"
"2321581003","С","ВЕРБОВЕ","ВЕРБОВОЕ"
"2321581300",,"ДНІПРОВСЬКА/С.ДНІПРОВКА","ДНЕПРОВСКИЙ/С.ДНЕПРОВКА"
"2321581301","С","ДНІПРОВКА","ДНЕПРОВКА"
"2321581302","С","ОРЛІВСЬКЕ","ОРЛОВСКОЕ"
"2321581303","С","ПЕРУН","ПЕРУН"
"2321581304","С","ПЕТРО-СВИСТУНОВЕ","ПЕТРО-СВИСТУНОВО"
"2321581305","С","ТАРАСІВКА","ТАРАСОВКА"
"2321581306","С","ЯСИНУВАТЕ","ЯСИНОВАТОЕ"
"2321581400",,"ДРУЖЕЛЮБІВСЬКА/С.ДРУЖЕЛЮБІВКА","ДРУЖЕЛЮБОВСКИЙ/С.ДРУЖЕЛЮБОВКА"
"2321581401","С","ДРУЖЕЛЮБІВКА","ДРУЖЕЛЮБОВКА"
"2321581402","Щ","ГАСАНІВКА","ГАСАНОВКА"
"2321581403","С","НОВОІВАНІВСЬКЕ","НОВОИВАНОВСКОЕ"
"2321581404","С","НОВОСОФІЇВКА","НОВОСОФИЕВКА"
"2321581405","С","УКРАЇНКА","УКРАИНКА"
"2321582000",,"СЕМЕНЕНКІВСЬКА/С.СЕМЕНЕНКОВЕ","СЕМЕНЕНКОВСКИЙ/С.СЕМЕНЕНКОВОЕ"
"2321582001","С","СЕМЕНЕНКОВЕ","СЕМЕНЕНКОВОЕ"
"2321582002","С","БЕРЕСТОВЕ","БЕРЕСТОВОЕ"
"2321582003","С","ВАСИЛІВКА","ВАСИЛЬЕВКА"
"2321582004","С","ВІВЧАРНЕ","ОВЧАРНОЕ"
"2321582005","С","ЛЮБОМИРІВКА","ЛЮБОМИРОВКА"
"2321582006","С","НОВОУКРАЇНКА","НОВОУКРАИНКА"
"2321582007","С","ПЕРШОЗВАНІВКА","ПЕРШОЗВАНОВКА"
"2321582008","С","ШЕВЧЕНКОВЕ","ШЕВЧЕНКОВО"
"2321582200",,"КУПРІЯНІВСЬКА/С.КУПРІЯНІВКА","КУПРИЯНОВСКИЙ/С.КУПРИЯНОВКА"
"2321582201","С","КУПРІЯНІВКА","КУПРИЯНОВКА"
"2321582202","С","БЕКАРІВКА","БЕКАРОВКА"
"2321582203","С","МАЛА КУПРІЯНІВКА","МАЛАЯ КУПРИЯНОВКА"
"2321582204","С","ТРОЯНДИ","ТРОЯНДЫ"
"2321582205","С","ЯКОВЛЕВЕ","ЯКОВЛЕВО"
"2321582500",,"ЛЮБИМІВСЬКА/С.ЛЮБИМІВКА","ЛЮБИМОВСКИЙ/С.ЛЮБИМОВКА"
"2321582501","С","ЛЮБИМІВКА","ЛЮБИМОВКА"
"2321582502","С","ВЕСЕЛОТЕРНУВАТЕ","ВЕСЕЛОТЕРНОВАТОЕ"
"2321582503","С","ВИШНЯКИ","ВИШНЯКИ"
"2321582504","С","ВІЛЬНЯНКА","ВОЛЬНЯНКА"
"2321582505","С","ГАРАСІВКА","ГАРАСОВКА"
"2321582506","С","ГРІЗНЕ","ГРОЗНОЕ"
"2321582507","С","ДЕРЕЗІВКА","ДЕРЕЗОВКА"
"2321582508","С","НОВОТРОЇЦЬКЕ","НОВОТРОИЦКОЕ"
"2321582509","С","ПЕТРІВСЬКЕ","ПЕТРОВСКОЕ"
"2321582510","С","СКЕЛЮВАТЕ","СКЕЛЕВАТОЕ"
"2321582700",,"ЛЮЦЕРНЯНСЬКА/С.ЛЮЦЕРНА","ЛЮЦЕРНЯНСКИЙ/С.ЛЮЦЕРНА"
"2321582701","С","ЛЮЦЕРНА","ЛЮЦЕРНА"
"2321582703","С","БОГАТИРІВКА","БОГАТЫРЕВКА"
"2321582705","С","ВІЛЬНОГРУШІВСЬКЕ","ВОЛЬНОГРУШЕВСКОЕ"
"2321582707","С","ВІЛЬНОУЛАНІВСЬКЕ","ВОЛЬНОУЛАНОВСКОЕ"
"2321583000",,"МАКСИМІВСЬКА/С.МАКСИМІВКА","МАКСИМОВСКИЙ/С.МАКСИМОВКА"
"2321583001","С","МАКСИМІВКА","МАКСИМОВКА"
"2321583002","С","КОЗАЧЕ","КАЗАЧЬЕ"
"2321583003","С","КРУТИЙ ЯР","КРУТОЙ ЯР"
"2321583004","С","НОВОФЕДОРІВКА","НОВОФЕДОРОВКА"
"2321583005","С","ТРУДОЛЮБІВКА","ТРУДОЛЮБОВКА"
"2321583006","С","ШИРОКЕ","ШИРОКОЕ"
"2321583600",,"МАТВІЇВСЬКА/С.МАТВІЇВКА","МАТВЕЕВСКИЙ/С.МАТВЕЕВКА"
"2321583601","С","МАТВІЇВКА","МАТВЕЕВКА"
"2321584000",,"МИХАЙЛІВСЬКА/С.МИХАЙЛІВКА","МИХАЙЛОВСКИЙ/С.МИХАЙЛОВКА"
"2321584001","С","МИХАЙЛІВКА","МИХАЙЛОВКА"
"2321584002","С","АНДРІЇВКА","АНДРЕЕВКА"
"2321584003","С","ВАСИЛІВСЬКЕ","ВАСИЛЕВСКОЕ"
"2321584004","С","ВІЛЬНОАНДРІЇВКА","ВОЛЬНОАНДРЕЕВКА"
"2321584005","С","ВІЛЬНОКУР'ЯНІВСЬКЕ","ВОЛЬНОКУРЬЯНОВСКОЕ"
"2321584006","С","ГЕОРГІЇВСЬКЕ","ГЕОРГИЕВСКОЕ"
"2321584007","С","ЗАПОРІЗЬКЕ","ЗАПОРОЖСКОЕ"
"2321584008","С","КРИНИЧНЕ","КРИНИЧНОЕ"
"2321584009","С","НАГІРНЕ","НАГОРНОЕ"
"2321584010","С","СЕРГІЇВКА","СЕРГЕЕВКА"
"2321584011","С","СОКОЛІВКА","СОКОЛОВКА"
"2321584500",,"МИХАЙЛО-ЛУКАШІВСЬКА/С.МИХАЙЛО-ЛУКАШЕВЕ","МИХАЙЛО-ЛУКАШОВСКИЙ/С.МИХАЙЛО-ЛУКАШОВО"
"2321584501","С","МИХАЙЛО-ЛУКАШЕВЕ","МИХАЙЛО-ЛУКАШОВО"
"2321584502","С","МИРОЛЮБІВКА","МИРОЛЮБОВКА"
"2321584503","С","НОВОВАСИЛІВСЬКЕ","НОВОВАСИЛЕВСКОЕ"
"2321584504","С","НОВОМИХАЙЛІВСЬКЕ","НОВОМИХАЙЛОВСКОЕ"
"2321585000",,"МОСКОВСЬКА/С.МОСКОВКА","МОСКОВСКИЙ/С.МОСКОВКА"
"2321585001","С","МОСКОВКА","МОСКОВКА"
"2321585002","С","БЛАГОВІЩЕНСЬКЕ","БЛАГОВЕЩЕНСКОЕ"
"2321585003","С","ВЕСЕЛІВСЬКЕ","ВЕСЕЛОВСКОЕ"
"2321585004","С","МИКІЛЬСЬКЕ","НИКОЛЬСКОЕ"
"2321585005","С","РАЙСЬКЕ","РАЙСКОЕ"
"2321585006","С","УКРОМНЕ","УКРОМНОЕ"
"2321585600",,"НОВОГУПАЛІВСЬКА/С.НОВОГУПАЛІВКА","НОВОГУПАЛОВСКИЙ/С.НОВОГУПАЛОВКА"
"2321585601","С","НОВОГУПАЛІВКА","НОВОГУПАЛОВКА"
"2321585602","С","АГРАФЕНІВКА","АГРАФЕНОВКА"
"2321585603","С","КОЗАКІВСЬКЕ","КАЗАКОВСКОЕ"
"2321585605","С","ЯКИМІВСЬКЕ","АКИМОВСКОЕ"
"2321586100",,"ПАВЛІВСЬКА/С.ПАВЛІВСЬКЕ","ПАВЛОВСКИЙ/С.ПАВЛОВСКОЕ"
"2321586101","С","ПАВЛІВСЬКЕ","ПАВЛОВСКОЕ"
"2321586102","С","БІЛЯЇВКА","БЕЛЯЕВКА"
"2321586103","С","ВИШНЕВЕ","ВИШНЕВОЕ"
"2321586104","С","ЗАДОРОЖНЄ","ЗАДОРОЖНОЕ"
"2321586105","С","ЗЕЛЕНЕ","ЗЕЛЕНОЕ"
"2321586106","С","ЗНАЧКОВЕ","ЗНАЧКОВО"
"2321586107","С","НОВОВАСИЛІВКА","НОВОВАСИЛЬЕВКА"
"2321586108","С","НОВОСЕЛІВКА","НОВОСЕЛОВКА"
"2321586109","С","ПОДИ","ПОДЫ"
"2321586110","С","РЕЗЕДІВКА","РЕЗЕДОВКА"
"2321586111","С","РОЗДОЛЛЯ","РАЗДОЛЬЕ"
"2321586112","С","СПАСІВКА","СПАСОВКА"
"2321586800",,"ПЕТРО-МИХАЙЛІВСЬКА/С.ПЕТРО-МИХАЙЛІВКА","ПЕТРО-МИХАЙЛОВСКИЙ/С.ПЕТРО-МИХАЙЛОВКА"
"2321586801","С","ПЕТРО-МИХАЙЛІВКА","ПЕТРО-МИХАЙЛОВКА"
"2321586803","С","ГРУШІВКА","ГРУШЕВКА"
"2321586805","С","КРУГЛИК","КРУГЛИК"
"2321586806","С","УЛЯНІВКА","УЛЬЯНОВКА"
"2321587000",,"ПРИВІЛЬНЕНСЬКА/С.ПРИВІЛЬНЕ","ПРИВОЛЬНЕНСКИЙ/С.ПРИВОЛЬНОЕ"
"2321587001","С","ПРИВІЛЬНЕ","ПРИВОЛЬНОЕ"
"2321587002","С","БОГДАНІВКА","БОГДАНОВКА"
"2321587003","С","ВАСИЛЬКІВСЬКЕ","ВАСИЛЬКОВСКОЕ"
"2321587004","С","ТЕРСЯНКА","ТЕРСЯНКА"
"2321587200",,"СОЛОНЕНСЬКА/С.СОЛОНЕ","СОЛОНЕНСКИЙ/С.СОЛЕНОЕ"
"2321587201","С","СОЛОНЕ","СОЛЕНОЕ"
"2321587300",,"ТЕРНІВСЬКА/С.ТЕРНІВКА","ТЕРНОВСКИЙ/С.ТЕРНОВКА"
"2321587301","С","ТЕРНІВКА","ТЕРНОВКА"
"2321587302","С","ВЕЛИКОДУБОВЕ","ВЕЛИКОДУБОВОЕ"
"2321587303","С","ГУБЕНСЬКЕ","ГУБЕНСКОЕ"
"2321587304","С","ПРИДОЛИНІВКА","ПРИДОЛИНОВКА"
"2321587305","С","ШЕВЧЕНКА","ШЕВЧЕНКО"
"2321587306","С","ЯКИМІВКА","АКИМОВКА"
"2321800000",,"ГУЛЯЙПІЛЬСЬКИЙ РАЙОН/М.ГУЛЯЙПОЛЕ","ГУЛЯЙПОЛЬСКИЙ РАЙОН/Г.ГУЛЯЙПОЛЕ"
"2321810000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ГУЛЯЙПІЛЬСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ ГУЛЯЙПОЛЬСКОГО Р-НА"
"2321810100","М","ГУЛЯЙПОЛЕ","ГУЛЯЙПОЛЕ"
"2321810101","С","ВЕСЕЛЕ","ВЕСЕЛОЕ"
"2321810105","С","ЗАТИШШЯ","ЗАТИШЬЕ"
"2321810107","С","ЗЕЛЕНИЙ ГАЙ","ЗЕЛЕНЫЙ ГАЙ"
"2321810111","С","МАРФОПІЛЬ","МАРФОПОЛЬ"
"2321855000",,"СЕЛИЩА МІСЬКОГО ТИПУ ГУЛЯЙПІЛЬСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ГУЛЯЙПОЛЬСКОГО Р-НА"
"2321855300","Т","ЗАЛІЗНИЧНЕ","ЗАЛИЗНИЧНОЕ"
"2321880000",,"СІЛЬРАДИ ГУЛЯЙПІЛЬСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ГУЛЯЙПОЛЬСКОГО Р-НА"
"2321880500",,"ВЕРХНЬОТЕРСЯНСЬКА/С.ВЕРХНЯ ТЕРСА","ВЕРХНЕТЕРСЯНСКИЙ/С.ВЕРХНЯЯ ТЕРСА"
"2321880501","С","ВЕРХНЯ ТЕРСА","ВЕРХНЯЯ ТЕРСА"
"2321880502","С","ГІРКЕ","ГОРЬКОЕ"
"2321880503","С","КРИНИЧНЕ","КРИНИЧНОЕ"
"2321880504","С","ЦВІТКОВЕ","ЦВЕТКОВОЕ"
"2321881000",,"ВОЗДВИЖІВСЬКА/С.ВОЗДВИЖІВКА","ВОЗДВИЖЕВСКИЙ/С.ВОЗДВИЖЕВКА"
"2321881001","С","ВОЗДВИЖІВКА","ВОЗДВИЖЕВКА"
"2321881002","С","ОЛЕНОКОСТЯНТИНІВКА","ОЛЕНОКОСТЯНТИНОВКА"
"2321881003","С","ПРИЛУКИ","ПРИЛУКИ"
"2321881500",,"ДОБРОПІЛЬСЬКА/С.ДОБРОПІЛЛЯ","ДОБРОПОЛЬСКИЙ/С.ДОБРОПОЛЬЕ"
"2321881501","С","ДОБРОПІЛЛЯ","ДОБРОПОЛЬЕ"
"2321881502","С","ВАРВАРІВКА","ВАРВАРОВКА"
"2321881504","С","НОВЕ ЗАПОРІЖЖЯ","НОВОЕ ЗАПОРОЖЬЕ"
"2321882000",,"ДОЛИНСЬКА/С.ДОЛИНКА","ДОЛИНСКИЙ/С.ДОЛИНКА"
"2321882001","С","ДОЛИНКА","ДОЛИНКА"
"2321882003","С","КОПАНІ","КОПАНИ"
"2321882004","С","РІВНЕ","РОВНОЕ"
"2321882500",,"ДОРОЖНЯНСЬКА/С.ДОРОЖНЯНКА","ДОРОЖНЯНСКИЙ/С.ДОРОЖНЯНКА"
"2321882501","С","ДОРОЖНЯНКА","ДОРОЖНЯНКА"
"2321883000",,"ГУЛЯЙПІЛЬСЬКА/С.ГУЛЯЙПІЛЬСЬКЕ","ГУЛЯЙПОЛЬСКИЙ/С.ГУЛЯЙПОЛЬСКОЕ"
"2321883001","С","ГУЛЯЙПІЛЬСЬКЕ","ГУЛЯЙПІЛЬСЬКЕ"
"2321883500",,"ЛЮБИМІВСЬКА/С.ЛЮБИМІВКА","ЛЮБИМОВСКИЙ/С.ЛЮБИМОВКА"
"2321883501","С","ЛЮБИМІВКА","ЛЮБИМОВКА"
"2321884000",,"МАЛИНІВСЬКА/С.МАЛИНІВКА","МАЛИНОВСКИЙ/С.МАЛИНОВКА"
"2321884001","С","МАЛИНІВКА","МАЛИНОВКА"
"2321884200",,"МИРНЕНСЬКА/С.МИРНЕ","МИРНЕНСКИЙ/С.МИРНОЕ"
"2321884201","С","МИРНЕ","МИРНОЕ"
"2321884203","С","ЗАГІРНЕ","ЗАГОРНОЕ"
"2321884205","С","ЧАРІВНЕ","ЧАРИВНОЕ"
"2321884500",,"НОВОЗЛАТОПІЛЬСЬКА/С.НОВОЗЛАТОПІЛЬ","НОВОЗЛАТОПОЛЬСКИЙ/С.НОВОЗЛАТОПОЛЬ"
"2321884501","С","НОВОЗЛАТОПІЛЬ","НОВОЗЛАТОПОЛЬ"
"2321884502","С","ВИШНЕВЕ","ВИШНЕВОЕ"
"2321884503","С","НОВОУКРАЇНСЬКЕ","НОВОУКРАИНСКОЕ"
"2321884504","С","СТЕПОВЕ","СТЕПОВОЕ"
"2321884700",,"НОВОМИКОЛАЇВСЬКА/С.НОВОМИКОЛАЇВКА","НОВОНИКОЛАЕВСКИЙ/С.НОВОНИКОЛАЕВКА"
"2321884701","С","НОВОМИКОЛАЇВКА","НОВОНИКОЛАЕВКА"
"2321884702","С","НОВОВАСИЛІВСЬКЕ","НОВОВАСИЛЬЕВСКОЕ"
"2321884703","С","НОВОГРИГОРІВКА","НОВОГРИГОРОВКА"
"2321884704","С","НОВОІВАНІВКА","НОВОИВАНОВКА"
"2321885000",,"СВЯТОПЕТРІВСЬКА/С.СВЯТОПЕТРІВКА","СВЯТОПЕТРОВСКИЙ/С.СВЯТОПЕТРОВКА"
"2321885001","С","СВЯТОПЕТРІВКА","СВЯТОПЕТРОВКА"
